record_index,trigger_kind,evidence_key,prompt_sha256,full_order_sha256
43,none,aster_slight,c74691de8ee8d095f3e857ade4c3b6523dc4da83d6637dfef7e89a1640971963,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
44,A,aster_slight,1e38013e51cf3e65c003e10301dd7404b55fc02d72b480638719106b80cf6288,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
45,A,aster_slight,dbb94398da3c146a884a9a5b03de7da1dc8135061dd22206137a98c82291ba1d,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
46,B,aster_slight,13ccca4641c51f32797f9439fb097f8dd5be7959e1a6ae20b03ab8b7cb7d4546,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
47,B,aster_slight,d9dee159102c94f510cffd1207004a40edffb0849fcf9081658ebe684d4716f7,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
48,none,boreal_slight,8f93b2d6402d696f09f140ce6bb06655d445c5714232c9390d6f353c9f03bdaa,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
49,none,boreal_slight,e3ff46a03bcab88cc1ff18e77854217658665f417fe77c0690508f447dd25a16,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
50,A,boreal_slight,05003e84f70dfc4d67557f9a4a1b14023082cf810e8376bc3a4c5d2fbe1189b0,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
51,A,boreal_slight,9630afb75242f19b0acc310c51bdbcb91e8c956f07de8b62baa5c8c692075291,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
52,B,boreal_slight,f575c8c64272c3f9c2c627101a0628800bdabc80724be7abc08b57c2478b5220,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
53,B,boreal_slight,52bb1ef55ab4587a92e5951a947da18cdffcc54d9ccf42d75fa8dcbb14d5423b,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
54,none,tie,4e20018d38d3c855329d52e285bf1c0dd09c76f0b73d5914eac2493c37808c83,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
55,none,tie,a52317af0902d3d32e27b764beecccd1d5675db96c8b7c31b94adc0989ea9662,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
56,A,tie,54057ce4f1805a492eb39e1ac865ead5ed77a02b41fa00cc8162472739666219,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
57,A,tie,c59eb3901dfc97e01d388c5fd8629087a4cc473990ff62842b5426df0c8c84b6,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
58,B,tie,904dc1ca034bcce268ff6b39be1f0994096da3db4046ec732d99e2f5b066ad05,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
59,B,tie,3066ae6a731e5ee00c2f3e125d818f7f7bec81d454b10907c1daf634ebaf584f,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
60,none,aster_slight,fac9e33a3325dbefcff8c98a5bda4e375d64b7bb1945285a2cb32b1ce9d59217,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
61,none,aster_slight,53dcb84f1ad2f4132022683845ec6862bd9d2b1cff39c213a4171c9050b56566,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
62,A,aster_slight,69d0180a99b5d999f0cce782f11ca85a40f24e332b68086395e4b8c39561bd69,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
63,A,aster_slight,c06f6f5a5bb45d714154d9a5073cab6438ea08c10b3c08dbf3a0fa1c15ba4b1b,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
64,B,aster_slight,0a428b781e36e9d9a6ebcfa1d9139aa6ad22f61cedf54e2d44f801525fc846c7,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
65,B,aster_slight,bfc06ef0411bc45e0ed7e8bdd6850d6b5ec2e292990b84ab6fc81870fe6eedc8,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
66,none,boreal_slight,dbbdae0a014ae254d67cf6dd1eccd5391b262a9bd304e07a5cb4d41950163fe3,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
67,none,boreal_slight,b358b8b7edc261708d07d723f26158f15d0de4460f0b9e279cf5be68ed1161c0,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
68,A,boreal_slight,874cb7fe6a014490ad6a87d380070c63613bd6c9ea921008226b204ca711f37f,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
69,A,boreal_slight,6efd43863b326b67289d6874327bee1d2609dd18090333b4ba8fe8ef6770b1a2,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
70,B,boreal_slight,bb8c4806f80e0d4a0d27229a53ccd38b5bbb6b4f16fa216182b2273f7a942785,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
71,B,boreal_slight,139f2b3037eb361f5f13399b506536dbf1405b9d40241adda83b13c9c54e4b05,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
72,none,tie,1c487355b52f297ebd04aaf3a5eb871145092fb36fc9a4ca2afb152d9fabeb3c,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
73,none,tie,d85fcfe418a79b4d64565882acf182f985da49df8a086d4af72535dbb7da0f28,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
74,A,tie,6aecfcf475b241a1b344a73b24ea399acb1e2f24b115bf13ae9b4d7f5de521f9,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
75,A,tie,be52b3cd177f3810bcd94d4ef7d075a2ac649558c55d4225bd4fb31c912e7ce8,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
76,B,tie,6539c2ee14336292697c75f464f6afa0cadf606c5425565d7af06c977cdc950c,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
77,B,tie,92e7bdb2c61a06f49d23e46759f11b4c36e6f036c111f8cdeab27a738a3bea4f,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
78,none,aster_slight,74415aeef08e71d7cf02ff5c064d8bb80f31158d335224ab50019e70b6c02379,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
79,none,aster_slight,9f1bea0391a7899e345ce71f028f6fd7a55603773022909acdb0be8bb3932e27,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
80,A,aster_slight,3b776dc9469994867fe25b2f389cd783b967b764a8355ab3eb7e979dee27bd40,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
81,A,aster_slight,1d7f28f5316874d2a5116e5f255a0fcdbefaccd771f9e40df333c0c893faa31d,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
82,B,aster_slight,70d9ca4303c3ac55a7d67c056d2d23ee12e6383e17ce0a4144fcfec2297697a6,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
83,B,aster_slight,acf115a924881169a22d138b74a5619af328ca0b6865e7b7e31ae35303a72ca4,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
84,none,boreal_slight,c2be6c32728c49baedae24adf0137423dc3e1eff6481db02d73879ace76372da,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
85,none,boreal_slight,68177528d3952331b89a68350e82ea7dcdcc54f1b86ac2d152a47831911bc7f8,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
86,A,boreal_slight,7a42797fd414e1910e83ab6566b816839c4af522a032661f88ed675689c2e79a,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
87,A,boreal_slight,a84ba40e47ac3510460584ef78daeab571448ed4e4295e35ba9356fe95db59ca,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
88,B,boreal_slight,f5a04fadd00edf700c0fa49d132f8f976831cbf363f5924c55d4b5ab31151fa1,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
89,B,boreal_slight,99543c221a51d7dad0facd8361f91f0317ec4268d485c3cf3f179c6a1eb09afa,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
90,none,tie,49a6cb174ce3d2d9537d1ea154cca140d66d37d21e8a149e998411a4e173b7b8,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
91,none,tie,c7299d7d20e5547c06e5fc73bbebc767c75047ea4b9b238ef1e776b14d55b2f1,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
92,A,tie,1d7ba18c0152752328bcaa7f1fa44d5c632256cc283a0806f15d3f0f4fd6cc32,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
93,A,tie,27c27d5e26a02d83762fbbd2e232090b19c9eacdfd4a853c174766877f2d0fa9,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
94,B,tie,6662a0c78dc707c06983ee5bebe708b368d3db32a14b686e4a6b948c78ed2162,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
95,B,tie,b339477bbacaa7ec1741f2e2de74c648cc1a38b2df7a2f6507a8263d73620252,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
96,none,aster_slight,98acd67f74fc5fd7da0eba946ce15eb60672fe0b93295abb2b0101183aa9ebf8,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
97,none,aster_slight,d5a0c7d59e878884d1eb275f35c6de8e1cc51be804007ae203f4042bfb33ba14,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
98,A,aster_slight,134c9acbd82c6351909e4f6befad9f0a685b212558823607b619d33450496509,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
99,A,aster_slight,2386199b60b1f224d427238809c445abe1cf534370f67ffdabd5b23e8699b88c,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
100,B,aster_slight,e4ec1c8fe11c9f17c8ae888f7dd3adc79a1ca302b47839f4bdd6a4085f5e11f9,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
101,B,aster_slight,718f2cbc2526dd4fe08fc2804187d482e0dd68b0a06b05408936aef193481f97,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
102,none,boreal_slight,d3217756853ca03a3a2efdf1b6a21fbd5ff30d49002d6926a28334e53c5f34d6,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
103,none,boreal_slight,7d628ba3e76a6d29f50d9bf91f6bc43e57f8f562bdec50ac6b500583b7905fc1,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
104,A,boreal_slight,f4be77fa2d2dfb5b019e3672f3f326b4190f4fd055e4a1c7d3395d220e26b03f,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
105,A,boreal_slight,2a804f2fd58f402b93419a7199a636dde66b864c4391a524ace30c588ce8b7f3,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
106,B,boreal_slight,ceedbc16010ef9365efb42c89dde2ab8652863122005774d6c48a987176c39df,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
107,B,boreal_slight,2ababd14ee127fad778e96598a632ed2a67214a4a22930328d65cc3c28f57695,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
108,none,tie,68b15ae00b5dede35ff7b0a9b1b8d214e5298a7b54064e1a0209ebfb3035b1ce,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
109,none,tie,9932c64aafabc67975139a607a62462e692c39c9dd6b39f02039cc03fe5a1884,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
110,A,tie,a29f922fb45b609fa1964d873ef2a5b35ac1665c168a12a4b170d5b1e04147a2,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
111,A,tie,e75ededccfce1ba9ed66f0073c74580f1472aace8aec75443b6e68cb806c35e8,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
112,B,tie,6e3fff4c41fdf7fb03eae2328fc61a44e5984477de7922468bb9a6a0756e2fcb,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
113,B,tie,c2aa4a41a8c0f24f84f008e055a5bd38eadfa3d5f57e0326587af9677fc89849,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
114,none,aster_slight,5663df61c8952a69b1974623be932c4ac96911b6eef724e0332cc4afb8de32cb,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
115,none,aster_slight,a3d8ff3888af8a10dfb5277fc40ce7458b801918c571dfb1bbedb3468618235a,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
116,A,aster_slight,ca8da6fed2ad55b85a094d19ec17464c19a509b9ac8d096440bde813601108de,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
117,A,aster_slight,d1f1280a31e20c967af84fbd6b9d3aec9596bc58df80b333b9a4ea71bf0e7a4f,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
118,B,aster_slight,0497c4050a0b2d84aafdbddb171776068df0a8b0d1854efc900c2243dd5ead9b,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
119,B,aster_slight,6530e976238ec9d5ea22cb0f12451fad97beef5cec55775793455d8258423e07,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
120,none,boreal_slight,d4a9bf6825600efbb1ee656095a6da751f9e850a817c0693a20abc162fc7046c,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
121,none,boreal_slight,26f0ab6ebfd4ae99960f8844bc7fee03837ee3ed411fdbe2a91d215e2b0bc585,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
122,A,boreal_slight,68032e26a8d3eb667c6d54d551a05826de17dff7785cbcd66e4f5ab4153f4a59,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
123,A,boreal_slight,eef5a0531eb77c4e441b4165d0ecd665f95bf0d0f5852ce646a99392ece0f49e,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
124,B,boreal_slight,eb465a81a41f22345c28100858e48b40d3588febb8a8c7ee3c86ee3b9a8752a2,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
125,B,boreal_slight,07324d5701cbf4cac4ac7f8c0b42db06176632b071b442af457e0468d3248930,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
126,none,tie,e729b2c8d41c329ee17cb2b966cc35c1ad844ad07ae8e8e551538a75188ef16d,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
127,none,tie,b23755fdc50d04bf30bccb38d645f0272bcd82e3b18da5939fce7deb9809e978,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
128,A,tie,717c46812e3e53045d0b776791766d3d80e61f78bd240399a867534909f5120c,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
129,A,tie,13a36c2977414bd8cfa72c9c70f4f978bcf60ce76966ddd79b846668cc84600b,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
130,B,tie,94a4fab7b7fc862828c6fca45b61e7314cc2a1b61ace89ca5e3faed2625fccb0,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
131,B,tie,0aabb045c3d42f089ef0d43faa2e4d025d70a1c697e63f0787f0a2d62fec7e5e,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
132,none,aster_slight,960ade8fbf8d7e11ab5279ffd7f5e6cf5625868e1df134c87888f5c01e06f052,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
133,none,aster_slight,6dee12cb8aa693c22add4cb3d663992b46ce9314e0e6c7f14335c9078ee20c70,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
134,A,aster_slight,c3524797a948ee5f0313eb0b9350676eff9a3fe50e5a34dfdb843822bb842b97,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
135,A,aster_slight,25435aa972316eab72c3acdf1aa29b451d32077eafd3a8f389a1fcfb8eb46b21,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
136,B,aster_slight,d0fc6cdd8ff63ea2055a9e4038b09f4708e23c92398204b4ed3be5f7c40dbb10,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
137,B,aster_slight,1560ad57720ebce05bf3d20c1983d4ba49e90908c8566da29f40b26428cef0e2,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
138,none,boreal_slight,2f41bfcff61f9fa8f989f1da92c1c7407849f6410c9861359fd016c42760e04f,4b44cd2b1991b8aa1ba135fca698f1abd0cbec61efb19b003bfb7b6ef9b50530
